,bacc,animal,genotype,condition,classifier,cell,trial,equal_bacc_sample,cell_trial,cond
0,0.7386763965777554,16,WT,GluA2,SVM,25,,True,c25,WT-GluA2
0,0.75,17,Tg,Veh,SVM,25,,True,c25,Tg-Veh
0,0.5154091392136025,18,Tg,Veh,SVM,25,,True,c25,Tg-Veh
0,0.8497474747474747,19,Tg,Veh,SVM,25,,True,c25,Tg-Veh
0,0.7931536780772033,20,Tg,Veh,SVM,25,,True,c25,Tg-Veh
0,0.5621788283658787,21,Tg,Veh,SVM,25,,True,c25,Tg-Veh
0,0.7069936421435059,22,Tg,Veh,SVM,25,,True,c25,Tg-Veh
0,0.5,23,Tg,Veh,SVM,25,,True,c25,Tg-Veh
0,0.5700706137968495,24,Tg,GluA2,SVM,25,,True,c25,Tg-GluA2
0,0.7329564919492977,25,Tg,GluA2,SVM,25,,True,c25,Tg-GluA2
0,0.8408117668962949,26,Tg,GluA2,SVM,25,,True,c25,Tg-GluA2
0,0.6916062176165803,27,Tg,GluA2,SVM,25,,True,c25,Tg-GluA2
0,0.8434163701067616,28,Tg,GluA2,SVM,25,,True,c25,Tg-GluA2
0,0.8899516501997058,29,Tg,GluA2,SVM,25,,True,c25,Tg-GluA2
0,0.8925831202046035,30,Tg,GluA2,SVM,25,,True,c25,Tg-GluA2
0,0.5044333610418399,0,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.5701839977697241,1,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.5,2,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.621666415549194,3,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.6477777777777778,4,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.5893124065769806,5,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.4986215045293423,6,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.6246025923208609,7,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.5495374878286271,8,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.5727537768354095,9,WT,Veh,LDA,10,,True,c10,WT-Veh
0,0.6151960784313726,10,WT,GluA2,LDA,10,,True,c10,WT-GluA2
0,0.5,11,WT,GluA2,LDA,10,,True,c10,WT-GluA2
0,0.519205172085948,12,WT,GluA2,LDA,10,,True,c10,WT-GluA2
0,0.5049299429164504,13,WT,GluA2,LDA,10,,True,c10,WT-GluA2
0,0.681780104712042,14,WT,GluA2,LDA,10,,True,c10,WT-GluA2
0,0.6560083594566353,15,WT,GluA2,LDA,10,,True,c10,WT-GluA2
0,0.5500754906894816,16,WT,GluA2,LDA,10,,True,c10,WT-GluA2
0,0.5,17,Tg,Veh,LDA,10,,True,c10,Tg-Veh
0,0.4998228834573149,18,Tg,Veh,LDA,10,,True,c10,Tg-Veh
0,0.5,19,Tg,Veh,LDA,10,,True,c10,Tg-Veh
0,0.5,20,Tg,Veh,LDA,10,,True,c10,Tg-Veh
0,0.5,21,Tg,Veh,LDA,10,,True,c10,Tg-Veh
0,0.5881017257039055,22,Tg,Veh,LDA,10,,True,c10,Tg-Veh
0,0.5,23,Tg,Veh,LDA,10,,True,c10,Tg-Veh
0,0.49904942965779464,24,Tg,GluA2,LDA,10,,True,c10,Tg-GluA2
0,0.499828708461802,25,Tg,GluA2,LDA,10,,True,c10,Tg-GluA2
0,0.48082293800037235,26,Tg,GluA2,LDA,10,,True,c10,Tg-GluA2
0,0.687979274611399,27,Tg,GluA2,LDA,10,,True,c10,Tg-GluA2
0,0.5313612099644128,28,Tg,GluA2,LDA,10,,True,c10,Tg-GluA2
0,0.5969098171116249,29,Tg,GluA2,LDA,10,,True,c10,Tg-GluA2
0,0.49850809889173064,30,Tg,GluA2,LDA,10,,True,c10,Tg-GluA2
0,0.7046273205874203,0,WT,Veh,NB,10,,True,c10,WT-Veh
0,0.633189294675216,1,WT,Veh,NB,10,,True,c10,WT-Veh
