animal,condition,genotype,bacc,classifier,full_cond,sc_type
25,GluA2,Tg,0.763643262118998,QDA_sc,Tg-GluA2,sc
26,GluA2,Tg,0.7110280041725059,QDA_sc,Tg-GluA2,sc
27,Veh,WT,0.8562750182029282,QDA_sc,WT-Veh,sc
28,GluA2,WT,0.724112971801693,QDA_sc,WT-GluA2,sc
29,GluA2,Tg,0.7441744813867577,QDA_sc,Tg-GluA2,sc
30,Veh,Tg,0.6897674674447547,QDA_sc,Tg-Veh,sc
1,Veh,WT,0.9799390336545796,gSVM_full,WT-Veh,full
2,Veh,WT,0.9840014709926155,gSVM_full,WT-Veh,full
4,Veh,WT,0.8795779457543882,gSVM_full,WT-Veh,full
9,Veh,WT,0.9758202999915822,gSVM_full,WT-Veh,full
10,Veh,WT,0.9553802449799673,gSVM_full,WT-Veh,full
11,Veh,WT,0.8459213041240903,gSVM_full,WT-Veh,full
17,Veh,WT,0.991148494324759,gSVM_full,WT-Veh,full
20,Veh,WT,0.951205946883356,gSVM_full,WT-Veh,full
22,Veh,WT,0.9138142518294541,gSVM_full,WT-Veh,full
27,Veh,WT,0.9881421806691333,gSVM_full,WT-Veh,full
0,GluA2,WT,0.8022019200289816,gSVM_full,WT-GluA2,full
5,GluA2,WT,0.710541255246367,gSVM_full,WT-GluA2,full
6,GluA2,WT,0.9775376849193387,gSVM_full,WT-GluA2,full
18,GluA2,WT,0.9898490917440554,gSVM_full,WT-GluA2,full
19,GluA2,WT,0.9333585979314125,gSVM_full,WT-GluA2,full
21,GluA2,WT,0.7915932256856135,gSVM_full,WT-GluA2,full
28,GluA2,WT,0.9162033527634604,gSVM_full,WT-GluA2,full
3,Veh,Tg,0.6167436635439041,gSVM_full,Tg-Veh,full
7,Veh,Tg,0.9847801711141263,gSVM_full,Tg-Veh,full
8,Veh,Tg,0.9467886639625753,gSVM_full,Tg-Veh,full
12,Veh,Tg,0.7290404746125407,gSVM_full,Tg-Veh,full
13,Veh,Tg,0.8491459962595506,gSVM_full,Tg-Veh,full
16,Veh,Tg,0.49980154004921806,gSVM_full,Tg-Veh,full
14,GluA2,Tg,0.6805388166019917,gSVM_full,Tg-GluA2,full
15,GluA2,Tg,0.8015013135572542,gSVM_full,Tg-GluA2,full
23,GluA2,Tg,0.9603127758231804,gSVM_full,Tg-GluA2,full
24,GluA2,Tg,0.7015430402709302,gSVM_full,Tg-GluA2,full
25,GluA2,Tg,0.9703418504642034,gSVM_full,Tg-GluA2,full
26,GluA2,Tg,0.9676315814336667,gSVM_full,Tg-GluA2,full
29,GluA2,Tg,0.9775362318840579,gSVM_full,Tg-GluA2,full
1,Veh,WT,0.7834810293645305,gSVM_sc,WT-Veh,sc
2,Veh,WT,0.772275766395716,gSVM_sc,WT-Veh,sc
4,Veh,WT,0.6385531766258445,gSVM_sc,WT-Veh,sc
9,Veh,WT,0.7852086098284256,gSVM_sc,WT-Veh,sc
10,Veh,WT,0.7869969585147744,gSVM_sc,WT-Veh,sc
11,Veh,WT,0.6286387806611287,gSVM_sc,WT-Veh,sc
17,Veh,WT,0.8299388158849343,gSVM_sc,WT-Veh,sc
20,Veh,WT,0.732249860353559,gSVM_sc,WT-Veh,sc
22,Veh,WT,0.7110694264054747,gSVM_sc,WT-Veh,sc
27,Veh,WT,0.8920588904891333,gSVM_sc,WT-Veh,sc
0,GluA2,WT,0.7223982895698695,gSVM_sc,WT-GluA2,sc
5,GluA2,WT,0.5648534353089595,gSVM_sc,WT-GluA2,sc
6,GluA2,WT,0.7943518388941829,gSVM_sc,WT-GluA2,sc
18,GluA2,WT,0.8325798347312904,gSVM_sc,WT-GluA2,sc
19,GluA2,WT,0.817879717191976,gSVM_sc,WT-GluA2,sc
21,GluA2,WT,0.7389328267337376,gSVM_sc,WT-GluA2,sc
28,GluA2,WT,0.7526082464869603,gSVM_sc,WT-GluA2,sc
