animal,name,cond,condition,genotype,should_include,bacc,classifier,model
9,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.7354772001334975,NB,sc
9,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.7650186021423722,NN,sc
9,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.7360338128862679,QDA,sc
9,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.7681520040027033,gSVM,sc
10,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.694910930757761,LDA,sc
10,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.7206882022805207,NB,sc
10,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.7621993695542979,NN,sc
10,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.7250049992683033,QDA,sc
10,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.7533740433559961,gSVM,sc
11,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.5945976622803792,LDA,sc
11,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.5840957264328946,NB,sc
11,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.5894315714670784,NN,sc
11,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.5827053468597614,QDA,sc
11,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.6149908476071455,gSVM,sc
12,LDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6250003998163509,LDA,sc
12,NB_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6595428499842406,NB,sc
12,NN_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6669953101542025,NN,sc
12,QDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6569611691696281,QDA,sc
12,gSVM_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6627376436201416,gSVM,sc
13,LDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.5717698161115946,LDA,sc
13,NB_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6097149336183503,NB,sc
13,NN_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.5882267390463719,NN,sc
13,QDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6211286686522037,QDA,sc
13,gSVM_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.5722623828953327,gSVM,sc
14,LDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.577746838640995,LDA,sc
14,NB_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6716255562429928,NB,sc
14,NN_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6742588267497094,NN,sc
14,QDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6775791969576528,QDA,sc
14,gSVM_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6696593053874129,gSVM,sc
15,LDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6915824825531475,LDA,sc
15,NB_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6660636793808958,NB,sc
15,NN_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.7414772312716018,NN,sc
15,QDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6762827658485744,QDA,sc
15,gSVM_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.7178237905343667,gSVM,sc
16,LDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6491394773202168,LDA,sc
16,NB_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.631041116962023,NB,sc
16,NN_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6461072932713504,NN,sc
16,QDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6491373597993195,QDA,sc
16,gSVM_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.681112137100403,gSVM,sc
17,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.571630893447862,LDA,sc
17,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.7381305149132836,NB,sc
17,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.7973192979622005,NN,sc
17,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.7420816434560077,QDA,sc
